Όνομα;Χονδρική τιμή (€);Περιγραφή;Ενότητα;Γραμμή;Εταιρία;Φωτογραφία;Κωδικός;Barcode (EAN);Καταχώρηση προμηθευτή;Πηγή περιγραφής
CRILEN ANTI-MOSQUITO PLUS SPRAY 20%;8,87;Ανακαλύψτε το CRILEN ANTI-MOSQUITO PLUS SPRAY 20% που απωθεί αποτελεσματικά τα κουνούπια και το κουνούπι τίγρης. Μπείτε στο site της FREZYDERM για περισσότερα!;Εντομοαπωθητικά & Διάφορα Εποχιακά;Crilen;Frezyderm;frezyderm/crilen-anti-mosquito-plus-spray-20-5202888224355.jpg;2200047931;5202888224355;FREZYD.CRILEN SPR.A-MOSQ.20%PLUS100;frezyderm.gr
KORRES E-Gift Card – $100 | KORRES;8,06;Not sure what to get them? Give them the gift of natural Greek beauty with a KORRES Gift Card.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Insect Repellent;Korres;seasonal/korres-100ml-5203069063893.png;2200042772;5203069063893;KORRES ΕΥΚΑΛ+ΜΥΡΤ.EMULS.ΕΝΤΟ/ΚΟ100Μ;korres.com
KORRES Multi-Stick | Natural Color Lip Balm;4,48;A creamy multi-stick with effortless application: twist, glide, and blend for a healthy looking glow on-the-go.;Εντομοαπωθητικά & Διάφορα Εποχιακά;After Bite;Korres;seasonal/korres-stick-15ml-5203069064708.jpg;2200042766;5203069064708;KORRES STICK ΜΕΛΙΣΣΟΧΟΡΤΟ ΤΣΙΜΠΗ.15;www.korres.com
Jungle Formula Bite & Sting Roll-On 15ml;5,37;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Jungle Formula (Bite & Sting).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Bite & Sting;Jungle Formula;seasonal/jungle-formula-bite-sting-roll-on-15ml-5391520948275.jpg;2200030923;5391520948275;JUNGLE FORM.BITE &STING ROLLON 15ML;
Jungle Formula Family Spray 100ml;8,30;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Jungle Formula (Family).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Family;Jungle Formula;seasonal/jungle-formula-family-spray-100ml-8413224044590.jpg;2200049647;8413224044590;JUNGLE FORM.FAMILY SPRAY 100ML;
Jungle Formula Maximum Original Liquid 75ml;9,25;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Jungle Formula (Maximum).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Maximum;Jungle Formula;seasonal/jungle-formula-maximum-original-liquid-75ml-5206469006989.jpg;2200035422;5206469006989;JUNGLE FORM.MAXIM.ORIG.LIQ.75ML;
Jungle Formula Maximum Roll-On Απωθητικό 50ml;7,46;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Jungle Formula (Maximum).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Maximum;Jungle Formula;seasonal/jungle-formula-maximum-roll-on-50ml-5400951991030.webp;2200042317;5400951991030;JUNGLE FORM.MAXIM.ROLLON ΑΠΩΘ.50M;
Jungle Formula Strong Original Liquid 75ml;7,64;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Jungle Formula (Strong).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Strong;Jungle Formula;seasonal/jungle-formula-strong-original-liquid-75ml-5206469007009.png;2200035420;5206469007009;JUNGLE FORM.STRONG ORIG.LIQ.75ML;
Jungle Formula Strong Soft Liquid 75ml;7,64;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Jungle Formula (Strong).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Strong;Jungle Formula;seasonal/jungle-formula-strong-soft-liquid-75ml-5206469007023.jpg;2200035423;5206469007023;JUNGLE FORM.STRONG SOFT LIQ.75ML;
Jungle Formula Strong Soft Spray 125ml;10,09;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Jungle Formula (Strong).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Strong;Jungle Formula;seasonal/jungle-formula-strong-soft-spray-125ml-5400951990026.jpg;2200045629;5400951990026;JUNGLE FORM.STRONG SOFT SPR.125ML;
CER-8 Microcapsules Patch Junior x24;6,50;Παιδικά εντομοαπωθητικά αυτοκόλλητα με καινοτομία μικροκάψουλας που απαλλάσσουν από τα ενοχλητικά τσιμπήματα των κουνουπιών, δημιουργώντας μια ακτίνα προστασίας ενός μέτρου (1m) έως και έξι ώρες. Μπορεί να κολληθεί σε ρούχα, έπιπλα, ακόμη και στην κούνια του μωρού σε σημείο μη ορατό και προσβάσιμο από τα παιδιά. Το πρωτοποριακό αυτό αυτοκόλλητο περιέχει μικροκάψουλες με το δραστικό συστατικό Εucalyptus Citriodora oil, το οποίο προστατεύει αποτελεσματικά απο τα κουνούπια και τις σκνίπες, συμπεριλαμβανομένου του ασιατικού κουνουπιού;Εντομοαπωθητικά & Διάφορα Εποχιακά;Kids;CER-8;vican/cer-8-microcapsules-patch-junior-5204559030012.jpg;2200012654;5204559030012;CER 8 ΠΑΙΔ.ΕΝΤΟΜΟΑΠ.STRIPS X24STR;vican.gr
CER-8 Άοσμο Εντομοαπωθητικό Spray 100ml;7,90;Το άοσμο εντομοαπωθητικό Cer’8 προστατεύει αποτελεσματικά από τα κουνούπια και τις σκνίπες, συμπεριλαμβανομένου του ασιατικού κουνουπιού;Εντομοαπωθητικά & Διάφορα Εποχιακά;Anti-Mosquito;CER-8;vican/cer-8-5204559030319.jpg;2200040879;5204559030319;CER-8 ANTI-MOSQ.SPRAY ΑΟΣΜΟ 100ML;vican.gr
CER-8 Εντομοαπωθητικό Lotion 125ml;7,50;Η εντομοαπωθητική lotion Cer’8 χαρίζει προστασία σε όλη την οικογένεια. Χάρη στη σύνθεσή της με Eucalyptus Citriodora Oil, προφυλάσσει αποτελεσματικά έως πέντε ώρες από τα κουνούπια και τις σκνίπες, συμπεριλαμβανομένου του ασιατικού κουνουπιού;Εντομοαπωθητικά & Διάφορα Εποχιακά;Lotion;CER-8;vican/cer-8-lotion-5204559030074.jpg;2200047171;5204559030074;CER-8 ΕΝΤΟΜΟΑΠΩΘ. LOTION 125ML;vican.gr
CER-8 Microcapsules Patch Ενηλίκων x24;6,50;Εντομοαπωθητικά αυτοκόλλητα ενηλίκων με καινοτομία μικροκάψουλας που απαλλάσσουν από τα ενοχλητικά τσιμπήματα των κουνουπιών, δημιουργώντας μια ακτίνα προστασίας ενός μέτρου (1m) έως και έξι ώρες. Μπορεί να κολληθεί στο κρεβάτι, στα ρούχα ή άλλα αντικείμενα. Με το δραστικό συστατικό Eucalyptus Citriodora oil, το οποίο προστατεύει αποτελεσματικά απο τα κουνούπια και τις σκνίπες, συμπεριλαμβανομένου του ασιατικού κουνουπιού;Εντομοαπωθητικά & Διάφορα Εποχιακά;Strips;CER-8;vican/cer-8-microcapsules-patch-5204559030005.jpg;2200005252;5204559030005;CER-8 ΕΝΤΟΜΟΑΠΩΘ. STRIPS X24 STRI;vican.gr
CER-8 Mini Άοσμο Εντομοαπωθητικό Spray 30ml;3,90;Το άοσμο εντομοαπωθητικό Cer’8 προστατεύει αποτελεσματικά από τα κουνούπια και τις σκνίπες, συμπεριλαμβανομένου του ασιατικού κουνουπιού;Εντομοαπωθητικά & Διάφορα Εποχιακά;Ultra Protect;CER-8;vican/cer-8-mini-spray-5204559030166.jpg;2200041576;5204559030166;CER-8 ULTRA PROTECT.SPR.ΑΟΣΜ.MIN30;vican.gr
CER-8 Ultra Protect Spray Άοσμο 100ml;8,00;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς CER-8 (Ultra Protect).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Ultra Protect;CER-8;seasonal/cer-8-ultra-protect-spray-100ml-5204559030128.jpg;2200048569;5204559030128;CER-8 ULTRA PROTECT.SPRAY ΑΟΣΜΟ100;
CER-8 Cream Junior Άοσμο 150ml + Patch Δώρο;8,90;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς CER-8 (Junior).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Junior;CER-8;seasonal/cer-8-cream-junior-150ml-patch-5204559009377.jpg;2200040337;5204559009377;CER-8 CREAM JUNIOR ΑΟΣΜΟ150+PATC.ΔΩ;
CER-8 Microcapsules Patch Junior Economy Pack x48;11,40;Παιδικά εντομοαπωθητικά αυτοκόλλητα με καινοτομία μικροκάψουλας που απαλλάσσουν από τα ενοχλητικά τσιμπήματα των κουνουπιών, δημιουργώντας μια ακτίνα προστασίας ενός μέτρου (1m) έως και έξι ώρες. Μπορεί να κολληθεί σε ρούχα, έπιπλα, ακόμη και στην κούνια του μωρού σε σημείο μη ορατό και προσβάσιμο από τα παιδιά. Με το δραστικό συστατικό Εucalyptus Citriodora oil, το οποίο προστατεύει αποτελεσματικά απο τα κουνούπι και τις σκνίπες, συμπεριλαμβανομένου του ασιατικού κουνουπιού;Εντομοαπωθητικά & Διάφορα Εποχιακά;Junior;CER-8;vican/cer-8-microcapsules-patch-junior-economy-pack-5204559030111.jpg;2200041562;5204559030111;CER-8 PATCH JUNIOR MICROC.ΕΝΤΟ/ΚΟ48;vican.gr
CER-8 After Bite Roll-On 10ml;2,20;Η πιο φυσική και αποτελεσματική λύση ανακούφισης από τα τσιμπήματα των κουνουπιών. Με συστατικά γνωστά για τις αντιφλογιστικές και αντι-ερεθιστικές τους ιδιότητες (Πρόπολη, Χαμομήλι, Καλέντουλα, Αλόη), ανακουφίζει άμεσα από τα ενοχλητικά συμπτώματα του τσιμπήματος, όπως ερεθισμός, αίσθημα κνησμού, ερύθυμα. Με Πρόπολη, Αλόη, Φασκόμηλο, Χαμομήλι, Καλέντουλα, Πολυδοκανόλη.;Εντομοαπωθητικά & Διάφορα Εποχιακά;After Bite;CER-8;vican/cer-8-5204559030043.jpg;2200047173;5204559030043;CER-8 ROLL-ON AFTER BITE 10ML;vican.gr
CER-8 After Bite Stickers x30;2,20;Τα παιδικά επιθέματα Cer’8 After Bite Stickers συμβάλλουν στην άμεση καταπράυνση από τα τσιμπήματα των εντόμων, χάρη στη φυτική τους σύνθεση από Καλέντουλα, Βιταμίνη Ε και Έλαιο σταφυλιού. Ανακουφίζουν από το αίσθημα του κνησμού και βοηθούν στη μείωση του οιδήματος και του ερεθισμού. Έχουν απίθανα σχέδια και αποτρέπουν τα παιδιά από το να ξύσουν την κνησμώδη περιοχή του τσιμπήματος. Ιδανικά και για;Εντομοαπωθητικά & Διάφορα Εποχιακά;After Bite;CER-8;vican/cer-8-after-bite-stickers-5204559030098.jpg;2200047105;5204559030098;CER-8 STICKERS AFTER BITE X30;vican.gr
Repel After Bite Gel 20ml;4,77;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Repel (After Bite).;Εντομοαπωθητικά & Διάφορα Εποχιακά;After Bite;Repel;seasonal/repel-after-bite-gel-20ml-5205152233800.jpg;2200043123;5205152233800;REPEL AFTER BITE GEL 20ML;
Repel Foam Spray Εντομοαπωθητικό 150ml;11,65;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Repel (Foam Spray).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Foam Spray;Repel;seasonal/repel-foam-spray-150ml-5206938221509.jpg;2200037109;5206938221509;REPEL FOAM SPRAY ΕΝΤΟΜ/ΚΟ 150ML;
Repel Foam Spray Εντομοαπωθητικό 50ml;5,68;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Repel (Foam Spray).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Foam Spray;Repel;seasonal/repel-foam-spray-50ml-5206938221301.jpg;2200048070;5206938221301;REPEL FOAM SPRAY ΕΝΤΟΜ/ΚΟ 50ML;
Repel Myco Clean Pen 3ml;7,10;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Repel (Myco Clean).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Myco Clean;Repel;seasonal/repel-myco-clean-pen-3ml-5206938000531.jpg;2200036288;5206938000531;REPEL MYCO CLEAN PEN 3ML;
Repel Spray Άοσμο Εντομοαπωθητικό 100ml;8,85;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Repel (Spray).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Spray;Repel;seasonal/repel-spray-100ml-5206938221400.jpg;2200049145;5206938221400;REPEL SPRAY ΑΟΣΜΟ ΕΝΤΟΜ/ΚΟ 100ML;
Repel Spray Άοσμο Εντομοαπωθητικό 15ml;2,95;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Repel (Spray).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Spray;Repel;seasonal/repel-spray-15ml-5206938480708.jpg;2200046899;5206938480708;REPEL SPRAY ΑΟΣΜΟ ΕΝΤΟΜ/ΚΟ 15ML;
Galesyn After Nip Gel 30ml;4,80;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Galesyn (After Bite).;Εντομοαπωθητικά & Διάφορα Εποχιακά;After Bite;Galesyn;seasonal/galesyn-after-nip-gel-30ml-5205056290275.jpg;2200030672;5205056290275;GALESYN AFTER NIP GEL 30ML;
Galesyn Spray Lotion After Bite Μέδουσας 125ml;4,50;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Galesyn (Jellyfish).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Jellyfish;Galesyn;seasonal/galesyn-spray-lotion-after-bite-125ml-5202385021785.png;2200041800;5202385021785;GALESYN SPR.LOT.AFTERBITE ΜΕΔΟΥΣ125;
Galesyn Family Repellent Spray 20% IR3535 100ml;7,60;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Galesyn (Family Repellent).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Family Repellent;Galesyn;seasonal/galesyn-family-repellent-spray-20-ir3535-100ml-5205056455728.jpg;2200044478;5205056455728;GALESYN SPR.REP.FAM.20%IR3535 100ML;
Galesyn Family Repellent Spray IR3535 + Δώρο + Τσάντα;11,34;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Galesyn (Family Repellent).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Family Repellent;Galesyn;seasonal/galesyn-family-repellent-spray-ir3535-5205056459955.png;2200040796;5205056459955;GALESYN SPR.REP.FAM.IP3535+ΔΩ+ΤΣΑ;
Science of Nature After Bite Gel 30ml;4,80;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Science of Nature (After Bite).;Εντομοαπωθητικά & Διάφορα Εποχιακά;After Bite;Science of Nature;seasonal/science-of-nature-after-bite-gel-30ml-5206355050737.webp;2200043689;5206355050737;SCIENCE OF NAT.AFTER BITE GEL 30ML;
Science of Nature Mosquito Diffuser 30;6,60;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Science of Nature (Mosquito).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Mosquito;Science of Nature;seasonal/science-of-nature-mosquito-diffuser-30-5206355050744.webp;2200042187;5206355050744;SCIENCE OF NAT.MOSQUITO DIFFUSER 30;
Science of Nature Mosquito Lotion Protection 100ml;8,80;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Science of Nature (Mosquito).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Mosquito;Science of Nature;seasonal/science-of-nature-mosquito-lotion-protection-100ml-5206355050782.webp;2200042195;5206355050782;SCIENCE OF NAT.MOSQUITO LOT.PROT100;
Science of Nature Mosquito Spray Protection 100ml;8,80;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Science of Nature (Mosquito).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Mosquito;Science of Nature;seasonal/science-of-nature-mosquito-spray-protection-100ml-5206355050775.webp;2200042191;5206355050775;SCIENCE OF NAT.MOSQUITO SPR.PROT100;
Autan Defence After Bite Gel 25ml;5,01;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Autan (Defence).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Defence;Autan;seasonal/autan-defence-after-bite-gel-25ml-5000204176698.jpg;2200045425;5000204176698;AUTAN DEFEN. AFTER BITE GEL 25ML;
Autan Defence Extreme Protection Spray 100ml;9,55;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Autan (Defence Extreme).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Defence Extreme;Autan;seasonal/autan-defence-extreme-protection-spray-100ml-5000204435511.jpg;2200042597;5000204435511;AUTAN DEFEN.EXTREME PR.ΕΝΤ/Κ.SPR100;
