Barcode;Όνομα supplier;Κατάσταση;Score;Σελίδα lamberts.gr;URL;Εναλλακτική 1;Score 1;Εναλλακτική 2;Score 2;Εναλλακτική 3;Score 3
5055148401825;LAMBERTS B-12 100ΜG 100TABS;Αυτόματο (σίγουρο);9.0;Vitamin B12 100μg;https://lamberts.gr/product/vitamin-b12-100mg/;Vitamin B12 100μg;9.0;Vitamin B12 1000μg;-5.9;Cranberry Complex;-10.1
5055148411749;LAMBERTS CALASORB CALCIUM 800MG 60TABS;Χωρίς σελίδα;;;;Calcium Ascorbate 250grams;-6.4;Plant Sterols 800mg;-10.7;Chewable Calcium 400mg;-10.8
5055148407599;LAMBERTS CANDAWAY 60TABS;Χωρίς σελίδα;;;;Echinacea 1000mg;-9.6;Nicotinamide 250mg;-9.6;Artichoke 7425mg;-9.6
5055148401733;LAMBERTS Chewable Calcium 400mg 60tabs;Αυτόματο (σίγουρο);23.7;Chewable Calcium 400mg;https://lamberts.gr/product/chewable-calcium-400mg/;Chewable Calcium 400mg;23.7;Calcium Ascorbate 250grams;-6.1;Chewable Glucosamine Complex for Dogs (& Cats);-7.7
5055148402020;LAMBERTS Chromium Complex 60tabs;Αυτόματο (σίγουρο);10.1;Chromium Complex;https://lamberts.gr/product/chromium-complex/;Chromium Complex;10.1;GTF Chromium 200μg;-3.0;Cranberry Complex;-6.0
5055148400620;LAMBERTS Cod Liver Oil 1000mg 180caps;Αυτόματο (σίγουρο);33.5;Cod Liver Oil 1000mg;https://lamberts.gr/product/cod-liver-oil-1000mg/;Cod Liver Oil 1000mg;33.5;Pure Starflower Oil 1000mg;-1.4;Flax Seed Oil 1000mg;-1.7
5055148405182;LAMBERTS CO-ENZYME Q10 200MG 60 CAPS;Αυτόματο (σίγουρο);19.9;Co-Enzyme Q10 200mg;https://lamberts.gr/product/co-enzyme-q10-200mg/;Co-Enzyme Q10 200mg;19.9;Co-Enzyme Q10 100mg;3.1;Co-Enzyme Q10 30mg;3.1
5055148408909;LAMBERTS Co-Enzyme Q10 30mg 30caps;Αυτόματο (σίγουρο);21.4;Co-Enzyme Q10 30mg;https://lamberts.gr/product/co-enzyme-q10-30mg/;Co-Enzyme Q10 30mg;21.4;Co-Enzyme Q10 100mg;3.9;Co-Enzyme Q10 200mg;3.9
5055148409586;LAMBERTS CRANBERRY 18.750MG 60TABS;Αυτόματο (σίγουρο);25.9;Cranberry 18.750mg;https://lamberts.gr/product/cranberry-18-750mg/;Cranberry 18.750mg;25.9;Cranberry Complex;-4.0;Chromium Complex;-14.1
5055148414177;LAMBERTS CRANBERRY 60 CAPSULES 18,750MG;Αυτόματο (σίγουρο);17.5;Cranberry 18.750mg;https://lamberts.gr/product/cranberry-18-750mg/;Cranberry 18.750mg;17.5;Cranberry Complex;-4.8;Chromium Complex;-14.8
5055148403058;LAMBERTS Cranberry Complex Powder 100gr;Αυτόματο (για έλεγχο);6.4;Cranberry Complex;https://lamberts.gr/product/cranberry-complex/;Cranberry Complex;6.4;L –Glutamine Powder;-7.6;Collagen Radiance Powder;-8.2
5055148400071;LAMBERTS DIG ACIDOPHILUS EXTRA 4 30CAPS;Χωρίς σελίδα;;;;Echinacea 1000mg;-14.3;Nicotinamide 250mg;-14.3;Artichoke 7425mg;-14.3
5055148411572;LAMBERTS DIG PEPPERMINT OIL 50MG 90CAPS;Αυτόματο (για έλεγχο);5.8;Peppermint Oil Capsules 100mg;https://lamberts.gr/product/peppermint-oil-capsules-100mg/;Peppermint Oil Capsules 100mg;5.8;Vegan Omega 3 Oil;-8.4;Soya Isoflavones 50mg;-9.8
5055148403003;LAMBERTS DIGESTIZYME 100CAPS;Χωρίς σελίδα;;;;Echinacea 1000mg;-9.6;Nicotinamide 250mg;-9.6;Artichoke 7425mg;-9.6
5055148400507;LAMBERTS EVENING PRIMR.OIL 1000MG 90CAPS;Αυτόματο (σίγουρο);30.2;Pure Evening Primrose Oil 1000mg;https://lamberts.gr/product/pure-evening-primrose-oil-1000mg/;Pure Evening Primrose Oil 1000mg;30.2;Evening Primrose Oil & Starflower Oil 1000mg;30.1;Pure Evening Primrose Oil 500mg;14.9
5055148410308;LAMBERTS Eyewise® High Strength Lutein 20mg 60tabs;Χωρίς σελίδα;;;;Maximum Strength Colladeen;-13.7;High Potency Omega 3s for Cats and Dogs;-18.0;Cranberry Complex;-22.4
5055148411657;LAMBERTS Eyewise® Omega 3 High Strength Lutein & Omega 3s & Vitamin D3  60caps;Χωρίς σελίδα;;;;High Potency Omega 3s for Cats and Dogs;-6.6;Vegan Omega 3 Oil;-16.4;Omega 3-6-9 1200mg;-17.0
5055148404925;LAMBERTS FEMA 45MG*180TABL.;Χωρίς σελίδα;;;;Cranberry Complex;-10.4;Chromium Complex;-10.4;Antioxidant Complex;-10.5
5055148402396;LAMBERTS Flax Seed Oil 1000mg  90caps;Αυτόματο (σίγουρο);33.5;Flax Seed Oil 1000mg;https://lamberts.gr/product/flax-seed-oil-1000mg/;Flax Seed Oil 1000mg;33.5;Pure Starflower Oil 1000mg;-1.4;Cod Liver Oil 1000mg;-1.7
5055148413132;LAMBERTS GARLIC 8250MG 60TABS;Χωρίς σελίδα;;;;Cranberry Complex;-10.4;Chromium Complex;-10.4;Antioxidant Complex;-10.5
5055148412999;LAMBERTS GINKGO BILOBA EXTRACT 6000MG 60TABS;Χωρίς σελίδα;;;;Ashwagandha Advance;-14.5;Night Time (Pistachio extract 100mg);-17.4;Cranberry Complex;-18.1
5055148414139;LAMBERTS Glucosamine & Chondroitin Complex 60tabs;Χωρίς σελίδα;;;;Glucosamine & Phytodroitin™ Complex;-2.0;Chewable Glucosamine Complex for Dogs (& Cats);-4.8;Glucosamine Complete;-7.4
5055148413682;LAMBERTS GLUCOSAMINE COMPLETE 120T;Αυτόματο (για έλεγχο);8.3;Glucosamine Complete;https://lamberts.gr/product/glucosamine-complete/;Glucosamine Complete;8.3;Glucosamine & Phytodroitin™ Complex;-9.8;Glucosamine Sulphate 2KCl;-10.5
5055148408879;LAMBERTS Glucosamine Complete 60tabs;Αυτόματο (σίγουρο);12.3;Glucosamine Complete;https://lamberts.gr/product/glucosamine-complete/;Glucosamine Complete;12.3;Glucosamine & Phytodroitin™ Complex;-5.8;Glucosamine Sulphate 2KCl;-6.5
5055148401566;LAMBERTS GLUTATHIONE COMPLEX 60C;Αυτόματο (για έλεγχο);5.8;L-Glutathione Complex;https://lamberts.gr/product/l-glutathione-complex/;L-Glutathione Complex;5.8;Cranberry Complex;-10.3;Chromium Complex;-10.3
5055148414030;LAMBERTS GRIFFONIA SEED EXTRACT 60TABS(PROVIDING 5-HTP 100MG;Αυτόματο (σίγουρο);51.8;Griffonia Seed Extract (5-HTP 100mg);https://lamberts.gr/product/griffonia-seed-extract-5-htp-100mg/;Griffonia Seed Extract (5-HTP 100mg);51.8;Night Time (Pistachio extract 100mg);-19.1;Peppermint Oil Capsules 100mg;-26.1
5000453120268;LAMBERTS Hawthorn 2500mg  60tabs;Χωρίς σελίδα;;;;Cranberry Complex;-10.4;Chromium Complex;-10.4;Antioxidant Complex;-10.5
5055148404017;LAMBERTS HER GINKGO BILOBA 6000MG 180TABS;Χωρίς σελίδα;;;;Ashwagandha Advance;-14.8;Cranberry Complex;-18.4;Chromium Complex;-18.4
5055148404017;LAMBERTS HER GINKGO BILOBA 6000MG 180TABS;Χωρίς σελίδα;;;;Ashwagandha Advance;-14.8;Cranberry Complex;-18.4;Chromium Complex;-18.4
5055148405588;LAMBERTS HER GINKGO BILOBA 6000MG*30T;Χωρίς σελίδα;;;;Ashwagandha Advance;-6.9;Cranberry Complex;-10.4;Chromium Complex;-10.4
5055148402822;LAMBERTS HER REFRESHALL 120TABS;Χωρίς σελίδα;;;;Echinacea 1000mg;-9.6;Nicotinamide 250mg;-9.6;Artichoke 7425mg;-9.6
5055148413743;LAMBERTS IBISENE (ARTICHOKE 8000MG)180TABS;Χωρίς σελίδα;;;;Artichoke 7425mg;-2.7;Maximum Strength Colladeen;-9.7;High Potency Omega 3s for Cats and Dogs;-14.0
5055148414702;LAMBERTS IMMUNO STRENGTH;Χωρίς σελίδα;;;;Maximum Strength Colladeen;-5.7;Echinacea 1000mg;-13.6;Nicotinamide 250mg;-13.6
5055148405236;LAMBERTS Imuno - Strength 500ml;Χωρίς σελίδα;;;;Maximum Strength Colladeen;-5.7;Cranberry Complex;-14.4;Chromium Complex;-14.4
5055148411640;LAMBERTS IODINE 150MCG 180TABS;Χωρίς σελίδα;;;;Cranberry Complex;-10.4;Chromium Complex;-10.4;Antioxidant Complex;-10.5
5055148402136;LAMBERTS MagAsorb 180tabs;Αυτόματο (σίγουρο);13.3;MagAsorb 300mg-Effervescent tabs;https://lamberts.gr/product/magasorb-300mg-effervescent-tabs/;MagAsorb 300mg-Effervescent tabs;13.3;Echinacea 1000mg;-17.6;Nicotinamide 250mg;-17.6
5055148414085;LAMBERTS MAGASORB 300MG 20TABS;Χωρίς σελίδα;;;;MagAsorb 300mg-Effervescent tabs;0.6;Alpha Lipoic Acid 300mg;-8.5;Biome Balance For those on Antibiotics​;-9.1
5055148411428;LAMBERTS MAGNESIUM 375;Χωρίς σελίδα;;;;Magnesium Citrate;-1.4;Gentle Magnesium Bisglycinate;-2.9;Echinacea 1000mg;-10.0
5055148412876;LAMBERTS MAGNESIUM 375 60TABS;Χωρίς σελίδα;;;;Magnesium Citrate;-1.4;Gentle Magnesium Bisglycinate;-2.9;Echinacea 1000mg;-10.0
5055148410698;LAMBERTS METHYL B COMPLEX 60 TABS;Αυτόματο (σίγουρο);21.2;Methyl B complex;https://lamberts.gr/product/methyl-b-complex/;Methyl B complex;21.2;Vitamin B-100 Complex;-2.1;Vitamin B-50 Complex;-4.6
5055148403508;LAMBERTS MILK THISTLE 8500MG 90TABS;Χωρίς σελίδα;;;;Cranberry Complex;-14.4;Chromium Complex;-14.4;Antioxidant Complex;-14.5
5055148401931;LAMBERTS MIN IRON 14MG 100TABS;Χωρίς σελίδα;;;;Bio-Iron Complex;-1.6;Multi-Guard® Iron Free;-2.7;Cranberry Complex;-10.1
5055148410605;LAMBERTS MIN MAGASORB 60TABS;Αυτόματο (για έλεγχο);7.3;MagAsorb 300mg-Effervescent tabs;https://lamberts.gr/product/magasorb-300mg-effervescent-tabs/;MagAsorb 300mg-Effervescent tabs;7.3;Cranberry Complex;-18.4;Chromium Complex;-18.4
5055148412050;LAMBERTS MIN OSTEOGUARD 30TABS;Χωρίς σελίδα;;;;Osteoguard® Advance;0.1;Echinacea 1000mg;-9.6;Nicotinamide 250mg;-9.6
5055148400002;LAMBERTS MIN SELENIUM A,C,E 100TABS;Αυτόματο (σίγουρο);25.9;Selenium 200μg + Βιταμίνες A, C, E;https://lamberts.gr/product/selenium-200mg-vitamines-a-c-e/;Selenium 200μg + Βιταμίνες A, C, E;25.9;Vitamin A 5000iu;-14.1;Electrolytes αναβράζοντα δισκία με Γεύση Λεμόνι;-19.8
5055148400163;LAMBERTS MIN ZINC 15MG/COPPER 1MG 90TABS;Χωρίς σελίδα;;;;Zinc Plus Lozenges;-5.6;Natural Beta Carotene 15mg;-12.4;Cranberry Complex;-14.4
5055148402815;LAMBERTS MIN ZINCATEST 100ML;Χωρίς σελίδα;;;;Cranberry Complex;-10.4;Chromium Complex;-10.4;Antioxidant Complex;-10.5
5055148412111;LAMBERTS MULTI GUARD ADR 120TABS;Χωρίς σελίδα;;;;MultiGuard OsteoAdvance 50+;0.4;Multi-Guard Advance®;-1.3;Multi Guard for Kids;-1.4
5055148412708;LAMBERTS MULTI GUARD ADR 60TABS;Χωρίς σελίδα;;;;MultiGuard OsteoAdvance 50+;0.4;Multi-Guard Advance®;-1.3;Multi Guard for Kids;-1.4
8055148408848;LAMBERTS Multi Guard Control 30tabs;Αυτόματο (για έλεγχο);7.7;Multi-Guard® Sugar Control;https://lamberts.gr/product/multi-guard-sugar-control/;Multi-Guard® Sugar Control;7.7;MultiGuard OsteoAdvance 50+;0.4;Multi-Guard Advance®;-1.3
5055148411985;LAMBERTS Multi-Guard® High Potency One-a-Day 30tabs;Χωρίς σελίδα;;;;High Potency Omega 3s for Cats and Dogs;-11.6;MultiGuard OsteoAdvance 50+;-14.9;Multi-Guard Advance®;-16.7
5055148410612;LAMBERTS Natural Form Vitamin E 400iu (268mg) 60caps;Αυτόματο (σίγουρο);38.6;Natural Form Vitamin E 400iu;https://lamberts.gr/product/natural-form-vitamin-e-400iu-2/;Natural Form Vitamin E 400iu;38.6;Natural Form Vitamin E 250iu;21.4;Vitamin D 400iu;-13.2
5055148414504;LAMBERTS NEURO-GUARD (B1,B6 & B12) 60 TABS;Χωρίς σελίδα;;;;Vitamin B12 1000μg;-14.4;Vitamin B12 100μg;-14.4;Neuro-Logical Plus;-15.8
5055148413644;LAMBERTS NEURO-LOGICAL PEA (B1, B6 & B12) 60CAPS;Χωρίς σελίδα;;;;Neuro-Logical Plus;-1.6;Vitamin B12 1000μg;-19.0;Vitamin B12 100μg;-19.0
5055148410742;LAMBERTS OMEGA 3 CATS&DOG 120CAPS;Χωρίς σελίδα;;;;Vegan Omega 3 Oil;1.2;Omega 3-6-9 1200mg;0.6;Omega 3 for Kids - Berry Bursts;-0.8
5055148410674;LAMBERTS OMEGA 3 ULTRA 60CAPS;Αυτόματο (για έλεγχο);5.4;Vegan Omega 3 Oil;https://lamberts.gr/product/vegan-omega-3-oil/;Vegan Omega 3 Oil;5.4;Omega 3-6-9 1200mg;4.8;Omega 3 for Kids - Berry Bursts;3.4
5055148409135;LAMBERTS Omega 3-6-9 1200mg 120caps;Αυτόματο (σίγουρο);48.8;Omega 3-6-9 1200mg;https://lamberts.gr/product/omega-3-6-9-1200mg/;Omega 3-6-9 1200mg;48.8;Vegan Omega 3 Oil;0.9;Omega 3 for Kids - Berry Bursts;-1.1
5055148412067;LAMBERTS Osteoguard® 90tabs;Χωρίς σελίδα;;;;Osteoguard® Advance;0.1;Echinacea 1000mg;-9.6;Nicotinamide 250mg;-9.6
5055148405700;LAMBERTS Performance Energy Drink Orange 1000gr;Χωρίς σελίδα;;;;ENERGY DRINK με γεύση πορτοκάλι;4.0;Cranberry Complex;-22.4;Chromium Complex;-22.4
5055148411503;LAMBERTS Probioguard 60caps;Χωρίς σελίδα;;;;Echinacea 1000mg;-9.6;Nicotinamide 250mg;-9.6;Artichoke 7425mg;-9.6
5055148409944;LAMBERTS Prostex 320mg of Beta Sitosterols 90tabs;Χωρίς σελίδα;;;;Echinacea 1000mg;-9.6;Nicotinamide 250mg;-9.6;Artichoke 7425mg;-9.6
1111111036136;LAMBERTS Pure Evening Primrose Oil 500mg 180caps;Αυτόματο (σίγουρο);42.8;Pure Evening Primrose Oil 500mg;https://lamberts.gr/product/pure-evening-primrose-oil-500mg/;Pure Evening Primrose Oil 500mg;42.8;Pure Evening Primrose Oil 1000mg;27.4;Evening Primrose Oil & Starflower Oil 1000mg;11.4
5055148407575;LAMBERTS Pure Fish Oil 1100mg 180caps;Αυτόματο (σίγουρο);34.3;Pure Fish Oil 1100mg;https://lamberts.gr/product/pure-fish-oil-1100mg/;Pure Fish Oil 1100mg;34.3;Pure Starflower Oil 1000mg;-7.3;Pure Evening Primrose Oil 500mg;-8.6
5055148400477;LAMBERTS PURE FISH OIL 1100MG 60CAPS;Αυτόματο (σίγουρο);34.3;Pure Fish Oil 1100mg;https://lamberts.gr/product/pure-fish-oil-1100mg/;Pure Fish Oil 1100mg;34.3;Pure Starflower Oil 1000mg;-7.3;Pure Evening Primrose Oil 500mg;-8.6
5055148404918;LAMBERTS QUERCETIN 500MG 60TABS;Χωρίς σελίδα;;;;L -Carnitine 500mg;-6.5;L-Glutamine 500mg;-6.5;L-Phenylalanine 500mg;-6.6
5055148411855;LAMBERTS Rhodiola Rosea 1200mg 90tabs;Χωρίς σελίδα;;;;Soya Lecithin 1200mg;-11.1;Korean Ginseng 1200mg;-11.1;Omega 3-6-9 1200mg;-13.8
5055148409074;LAMBERTS ROSE HIP 10.000mg 60tabs;Αυτόματο (σίγουρο);10.7;Rosehip 10.000mg;https://lamberts.gr/product/rosehip-10-000mg/;Rosehip 10.000mg;10.7;Cranberry Complex;-22.4;Chromium Complex;-22.4
5055148402891;LAMBERTS Selenium 200μg  60tabs;Χωρίς σελίδα;;;;Selenium 200μg + Βιταμίνες A, C, E;4.8;GTF Chromium 200μg;-7.1;Cranberry Complex;-10.4
5055148410360;LAMBERTS Silica Complete 60tabs;Χωρίς σελίδα;;;;Glucosamine Complete;-4.4;COMPLETE GAINER με γεύση σοκολάτας;-7.2;Echinacea 1000mg;-13.3
5055148410377;LAMBERTS SUP CO-ENZYME Q10 100MG 60CAPS;Αυτόματο (σίγουρο);16.3;Co-Enzyme Q10 100mg;https://lamberts.gr/product/co-enzyme-q10-100mg/;Co-Enzyme Q10 100mg;16.3;Co-Enzyme Q10 200mg;-0.1;Co-Enzyme Q10 30mg;-0.1
5055148400262;LAMBERTS SUP SILICA 90CAPS;Χωρίς σελίδα;;;;L-Theanine 200mg;-6.5;Co-Enzyme Q10 200mg;-6.8;Cranberry Complex;-10.4
5055148412616;LAMBERTS Turmeric Fast Release 60tabs;Αυτόματο (σίγουρο);26.3;Turmeric Fast Release;https://lamberts.gr/product/turmeric-fast-release/;Turmeric Fast Release;26.3;Vitamin C Time Release 1000mg;-10.8;Vitamin C Time Release 1500mg;-10.8
5055148401528;LAMBERTS Valerian 1600mg 60tabs;Χωρίς σελίδα;;;;Cranberry Complex;-10.4;Chromium Complex;-10.4;Antioxidant Complex;-10.5
5055148400316;LAMBERTS VIT B-100 COMPLEX 60TABS;Αυτόματο (σίγουρο);31.2;Vitamin B-100 Complex;https://lamberts.gr/product/vitamin-b-100-complex/;Vitamin B-100 Complex;31.2;Vitamin B-50 Complex;0.3;Methyl B complex;-3.7
5055148401900;LAMBERTS VIT B-12 1000MCG 60TABS;Αυτόματο (σίγουρο);13.4;Vitamin B12 1000μg;https://lamberts.gr/product/vitamin-b12-1000mg/;Vitamin B12 1000μg;13.4;Vitamin B12 100μg;3.4;Vitamin B-50 Complex;-7.5
5055148400309;LAMBERTS VIT C-500MG T/R 100TABS;Αυτόματο (για έλεγχο);7.5;Gentle Vitamin C 500mg;https://lamberts.gr/product/gentle-vitamin-c-500mg/;Gentle Vitamin C 500mg;7.5;Rutin and Vitamin C 500mg;7.4;Vitamin C Time Release 500 mg;-2.3
5055148400231;LAMBERTS VIT FOLIC ACID 400MCG 100TABS;Αυτόματο (σίγουρο);15.0;Folic Acid 400μg;https://lamberts.gr/product/folic-acid-400mg/;Folic Acid 400μg;15.0;Ascorbic Acid 250grams;-8.7;Vitamin B-50 Complex;-11.1
5055148411251;LAMBERTS VITAMIN B MYO INOSITOL 200GR;Χωρίς σελίδα;;;;Vitamin B-100 Complex;-1.6;Vitamin B-50 Complex;-7.7;Methyl B complex;-11.7
5055148400217;LAMBERTS Vitamin B-50 Complex 60tabs;Αυτόματο (σίγουρο);15.5;Vitamin B-50 Complex;https://lamberts.gr/product/vitamin-b-50-complex/;Vitamin B-50 Complex;15.5;Vitamin B-100 Complex;-5.1;Cranberry Complex;-8.4
5055148407049;LAMBERTS Vitamin C - Time 1000mg 30tabs;Αυτόματο (σίγουρο);20.5;Vitamin C Time Release 1000mg;https://lamberts.gr/product/vitamin-c-time-release-1000mg/;Vitamin C Time Release 1000mg;20.5;Vitamin C Time Release 1500mg;10.5;Vitamin C Time Release 500 mg;7.3
5055148400293;LAMBERTS Vitamin C - Time 1000mg 60tabs;Αυτόματο (σίγουρο);20.5;Vitamin C Time Release 1000mg;https://lamberts.gr/product/vitamin-c-time-release-1000mg/;Vitamin C Time Release 1000mg;20.5;Vitamin C Time Release 1500mg;10.5;Vitamin C Time Release 500 mg;7.3
5055148408213;LAMBERTS VITAMIN C 1000MG 20 αναβράζοντα δισκία;Αυτόματο (σίγουρο);16.5;Vitamin C 1000mg - Effervescent tabs;https://lamberts.gr/product/vitamin-c-1000mg-effervescent-tabs/;Vitamin C 1000mg - Effervescent tabs;16.5;Vitamin C Time Release 1000mg;1.5;Electrolytes αναβράζοντα δισκία με Γεύση Λεμόνι;-0.4
5055148413231;LAMBERTS VITAMIN D 2000IU 120CAPS;Αυτόματο (σίγουρο);19.5;Vitamin D 2000iu;https://lamberts.gr/product/vitamin-d-2000iu/;Vitamin D 2000iu;19.5;Vitamin D 4000iu (100μg);2.5;Vitamin D 1000iu;2.5
5055148403942;LAMBERTS VITAMIN D 400iu 120tabs;Αυτόματο (σίγουρο);19.5;Vitamin D 400iu;https://lamberts.gr/product/vitamin-d-400iu-2/;Vitamin D 400iu;19.5;Vitamin D 2000iu;2.5;Vitamin D 4000iu (100μg);2.5
5055148411381;LAMBERTS VITAMIN D3 & K2 60TABS;Αυτόματο (σίγουρο);10.2;Vitamin D3 2000iu & K2 90 µg;https://lamberts.gr/product/vitamin-d3-2000iu-k2-90-%c2%b5g/;Vitamin D3 2000iu & K2 90 µg;10.2;Vitamin D3 1000iu & K2 90 µg;10.2;Vitamin D3 1000iu Gummies;3.2
5055148410599;LAMBERTS Vitamin D3 1000iu (25μg) 120caps;Αυτόματο (σίγουρο);17.3;Vitamin D3 1000iu Gummies;https://lamberts.gr/product/vitamin-d3-1000iu-gummies/;Vitamin D3 1000iu Gummies;17.3;Vegan Vitamin D3 1000iu;17.2;Vitamin D3 1000iu & K2 90 µg;14.3
5055148411480;LAMBERTS Vitamin D3 1000iu (25μg) 30caps;Αυτόματο (σίγουρο);17.3;Vitamin D3 1000iu Gummies;https://lamberts.gr/product/vitamin-d3-1000iu-gummies/;Vitamin D3 1000iu Gummies;17.3;Vegan Vitamin D3 1000iu;17.2;Vitamin D3 1000iu & K2 90 µg;14.3
5055148413804;LAMBERTS VITAMIN D3 2000IU & K2 90CAPS;Αυτόματο (σίγουρο);28.4;Vitamin D3 2000iu & K2 90 µg;https://lamberts.gr/product/vitamin-d3-2000iu-k2-90-%c2%b5g/;Vitamin D3 2000iu & K2 90 µg;28.4;Vitamin D3 1000iu & K2 90 µg;4.2;Vitamin D3 Drops;2.9
5055148413248;LAMBERTS VITAMIN D3 2000iu 30CAPS;Αυτόματο (σίγουρο);14.7;Vitamin D3 2000iu & K2 90 µg;https://lamberts.gr/product/vitamin-d3-2000iu-k2-90-%c2%b5g/;Vitamin D3 2000iu & K2 90 µg;14.7;Vitamin D3 Drops;6.6;Vitamin D3 1000iu Gummies;0.8
5055148413224;LAMBERTS VITAMIN D3 2000iu 60CAPS;Αυτόματο (σίγουρο);14.7;Vitamin D3 2000iu & K2 90 µg;https://lamberts.gr/product/vitamin-d3-2000iu-k2-90-%c2%b5g/;Vitamin D3 2000iu & K2 90 µg;14.7;Vitamin D3 Drops;6.6;Vitamin D3 1000iu Gummies;0.8
5055148411473;LAMBERTS Vitamin D3 4000iu (100μg)  30caps;Αυτόματο (για έλεγχο);6.6;Vitamin D3 Drops;https://lamberts.gr/product/vitamin-d3-drops/;Vitamin D3 Drops;6.6;Vitamin D 4000iu (100μg);3.4;Vitamin D3 1000iu Gummies;0.8
5055148409326;LAMBERTS VITAMIN D3 4000IU 120CAPS;Αυτόματο (για έλεγχο);6.6;Vitamin D3 Drops;https://lamberts.gr/product/vitamin-d3-drops/;Vitamin D3 Drops;6.6;Vitamin D3 1000iu Gummies;0.8;Vegan Vitamin D3 1000iu;0.8
5055148412807;LAMBERTS Vitamin D3 Drops 20/600 drops;Αυτόματο (σίγουρο);19.2;Vitamin D3 Drops;https://lamberts.gr/product/vitamin-d3-drops/;Vitamin D3 Drops;19.2;Vegan Vitamin D3 1000iu;1.3;Vitamin D3 2000iu & K2 90 µg;-1.7
5055148411404;LAMBERTS VITAMIN K2 90MCG 60TABS;Χωρίς σελίδα;;;;Vitamin D3 2000iu & K2 90 µg;-6.5;Vitamin D3 1000iu & K2 90 µg;-6.5;Vitamin B-50 Complex;-7.5
5055148403072;LAMBERTS VITEX AGNUS CASTUS 1000MG* 60;Αυτόματο (σίγουρο);37.8;Vitex Agnus Castus 1000mg;https://lamberts.gr/product/vitex-agnus-castus-1000mg/;Vitex Agnus Castus 1000mg;37.8;Echinacea 1000mg;-14.3;Vitamin C 1000mg - Effervescent tabs;-15.9
5055148410032;LAMBERTS ZINC 25MG 120 TABS;Χωρίς σελίδα;;;;Zinc Plus Lozenges;-2.4;Electrolytes effervescent tabs - Lemon flavor;-10.0;Electrolytes effervescent tabs - Berries flavor;-10.1
5055148411558;LAMBERTS ΑCIDOPHILUS EXTRA4(MILK FREE)30CAPS;Χωρίς σελίδα;;;;Multi-Guard® Iron Free;-12.1;Echinacea 1000mg;-19.4;Nicotinamide 250mg;-19.4
