Όνομα;Υπότιτλος;Χονδρική τιμή (€);Λιανική τιμή (€);Περιγραφή;Ιδιότητες;Βασικά χαρακτηριστικά;Χρήση;Συστατικά;Προειδοποιήσεις;Συσκευασία;Χαρακτηριστικά;Κατηγορία;Barcode (EAN);Παραλλαγές (variants);Φωτογραφία;URL επίσημου site;Πηγή;Match
Lamberts Glucosamine & Chondroitin Complex 60tabs;;12,50;21,06;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Glucosamine & Chondroitin Complex 60tabs;;;;;;;;Διάφορα;5055148414139;5055148412333, 5054148408886, 5055148408886, 5054148412333, 5055150000000;;;;Χωρίς σελίδα
Lamberts Glucosamine Complete;Η ολοκληρωμένη φόρμουλα Γλυκοζαμίνης & Χονδροϊτίνης;30,10;46,60;Η ολοκληρωμένη φόρμουλα Γλυκοζαμίνης & Χονδροϊτίνης;;;;;;;;Υγεία Οστών & Αρθρώσεων;5055148413682;5055148405298, 5055148410520, 5055148412258, 5055148413712;lamberts/glucosamine-complete-5055148413682.png;https://lamberts.gr/product/glucosamine-complete/;lamberts.gr;Για έλεγχο
Lamberts Glucosamine Complete;Η ολοκληρωμένη φόρμουλα Γλυκοζαμίνης & Χονδροϊτίνης;13,89;23,26;Η ολοκληρωμένη φόρμουλα Γλυκοζαμίνης & Χονδροϊτίνης;;;;;;;;Υγεία Οστών & Αρθρώσεων;5055148408879;5055148412241, 5055148413705;lamberts/glucosamine-complete-5055148408879.png;https://lamberts.gr/product/glucosamine-complete/;lamberts.gr;Αυτόματο
Lamberts L-Glutathione Complex;Υψηλής ισχύος σύμπλεγμα Γλουταθειόνης;24,05;40,82;Υψηλής ισχύος σύμπλεγμα Γλουταθειόνης;;;;;;;;Διάφορα;5055148401566;;https://lamberts.gr/wp-content/uploads/2025/01/8311-60-LL734-4-hr.png;https://lamberts.gr/product/l-glutathione-complex/;lamberts.gr;Για έλεγχο
Lamberts Griffonia Seed Extract (5-Htp 100mg);Φυσική πηγή 5-HTP (5-υδροξυτρυπτοφάνη);23,50;39,34;Φυσική πηγή 5-HTP (5-υδροξυτρυπτοφάνη);;;;;;;;Αμινοξέα;5055148414030;;lamberts/griffonia-seed-extract-5-htp-100mg-5055148414030.png;https://lamberts.gr/product/griffonia-seed-extract-5-htp-100mg/;lamberts.gr;Αυτόματο
Lamberts Hawthorn 2500mg 60tabs;;13,23;22,15;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Hawthorn 2500mg 60tabs;;;;;;;;Διάφορα;5000453120268;5055148401795;;;;Χωρίς σελίδα
Lamberts Her Ginkgo Biloba 6000Mg 180Tabs;;22,40;37,50;Συμπλήρωμα διατροφής Lamberts — LAMBERTS HER GINKGO BILOBA 6000MG 180TABS;;;;;;;;Διάφορα;5055148404017;;;;;Χωρίς σελίδα
Lamberts Her Ginkgo Biloba 6000Mg 180Tabs;;26,87;37,50;Συμπλήρωμα διατροφής Lamberts — LAMBERTS HER GINKGO BILOBA 6000MG 180TABS;;;;;;;;Διάφορα;5055148404017;;;;;Χωρίς σελίδα
Lamberts Ginkgo 6000mg, 30tabs;;10,85;16,32;"Sometimes just referred to as &#039;ginkgo&#039;, is best known for its effect in helping maintain peripheral circulation to the extremities of the body such";;;;;;;;Διάφορα;5055148405588;;lamberts/ginkgo-6000mg-30tabs-online-pharmacy-ofarmakopoiosmou-gr-5055148405588.png;https://www.ofarmakopoiosmou.gr/en/lamberts-ginkgo-biloba-extract-6000mg-gia-tin-diatirisi-tis-vrahyprothesmis-mnimis-30tabs;ofarmakopoiosmou.gr;Χωρίς σελίδα
Lamberts Refreshall 120tabs;;23,68;40,70;Lamberts Refreshall 120tabs - Συμπλήρωμα Διατροφής με Εκχύλισμα Gingko Biloba για την Ενίσχυση της Μνήμης Κατά της Πνευματικής Κόπωσης;;;;;;;;Διάφορα;5055148402822;;lamberts/refreshall-120tabs-pharm24-gr-5055148402822.jpg;https://www.pharm24.gr/lamberts-refreshall-120tabs-p-18384.html;pharm24.gr;Χωρίς σελίδα
Lamberts Artichoke High Strength 7425mg, 180tabs;;21,26;35,58;Lamberts Artichoke High Strength 7425mg, 180tabs - Συμπλήρωμα Διατροφής με Αγκινάρα για τη Διατήρηση της Υγείας του Ήπατος & τη Σωστή Λειτουργία της Πέψης;;;;;;;;Διάφορα;5055148413743;5055148411237, 5055148402747;lamberts/artichoke-high-strength-7425mg-180tabs-pharm24-gr-5055148413743.jpg;https://www.pharm24.gr/lambertsartichoke-high-strength-7425mg-180tabs-p-53272.html;pharm24.gr;Χωρίς σελίδα
Lamberts Imuno-Strength Gummies 60 Ζελεδάκια;;14,53;24,32;Lamberts Imuno-Strength Gummies 60 Ζελεδάκια - Συμπλήρωμα Διατροφής Φόρμουλας με Βιταμίνη C, Ψευδάργυρο & Εκχύλισμα Σαμπούκου για Θωράκιση & Υποστήριξη του Ανοσοποιητικού με Γεύση Φράουλα & Κεράσι;;;;;;;;Διάφορα;5055148414702;;lamberts/imuno-strength-gummies-60-pharm24-gr-5055148414702.jpg;https://www.pharm24.gr/lamberts-imunostrength-gummies-60-zeledakia-p-65713.html;pharm24.gr;Χωρίς σελίδα
Lamberts Imuno - Strength 500ml;;20,50;34,32;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Imuno - Strength 500ml;;;;;;;;Διάφορα;5055148405236;;;;;Χωρίς σελίδα
Lamberts Iodine 150Mcg 180Tabs;;8,40;14,00;Συμπλήρωμα διατροφής Lamberts — LAMBERTS IODINE 150MCG 180TABS;;;;;;;;Διάφορα;5055148411640;;;;;Χωρίς σελίδα
Lamberts MagAsorb 300mg-Effervescent tabs;Αναβράζον Μαγνήσιο υψηλής απορρόφησης και βιοδιαθεσιμότητας;21,40;35,82;Αναβράζον Μαγνήσιο υψηλής απορρόφησης και βιοδιαθεσιμότητας;;;;;;;;Διάφορα;5055148402136;;lamberts/magasorb-150mg-180tabs-pharm24-gr-5055148402136.jpg;https://lamberts.gr/product/magasorb-300mg-effervescent-tabs/;lamberts.gr;Αυτόματο
Lamberts Magasorb 300Mg 20Tabs;;5,35;8,90;Συμπλήρωμα διατροφής Lamberts — LAMBERTS MAGASORB 300MG 20TABS;;;;;;;;Διάφορα;5055148414085;;lamberts/magasorb-300mg-effervescent-tabs-5055148414085.png;;;Χωρίς σελίδα
Lamberts Magnesium 375 100% Nrv 180tabs;;21,27;32,15;Lamberts Magnesium 375 100% NRV 180tabs - Συμπλήρωμα Διατροφής Μαγνησίου για την Καλή Λειτουργία του Νευρικού & Μυοσκελετικού Συστήματος;;;;;;;;Διάφορα;5055148411428;;lamberts/magnesium-375-100-nrv-180tabs-pharm24-gr-5055148411428.jpg;https://www.pharm24.gr/lamberts-magnesium-375-100-nrv-180tabs-p-40297.html;pharm24.gr;Χωρίς σελίδα
Lamberts Magnesium 375 100% Nrv 60tabs;;11,80;19,80;Lamberts Magnesium 375 100% NRV 60tabs - Συμπλήρωμα Διατροφής Μαγνησίου για την Καλή Λειτουργία του Νευρικού & Μυοσκελετικού Συστήματος;;;;;;;;Διάφορα;5055148412876;;lamberts/magnesium-375-100-nrv-60tabs-pharm24-gr-5055148412876.jpg;https://www.pharm24.gr/lamberts-magnesium-375-100-nrv-60tabs-p-40861.html;pharm24.gr;Χωρίς σελίδα
Lamberts Methyl B complex;Εξειδικευμένο Σύμπλεγμα Βιταμινών Β;18,30;30,40;Εξειδικευμένο Σύμπλεγμα Βιταμινών Β;;;;;;;;Βιταμίνες;5055148410698;;lamberts/methyl-b-complex-60tabs-pharm24-gr-5055148410698.jpg;https://lamberts.gr/product/methyl-b-complex/;lamberts.gr;Αυτόματο
Lamberts Milk Thistle 6250mg, 90tabs;;20,13;33,00;Lamberts Milk Thistle 6250mg, 90tabs - Συμπλήρωμα Διατροφής με Εκχύλισμα Γαϊδουράγκαθου για την Προστασία του Ήπατος με Αντιφλεγμονώδεις Ιδιότητες Κατάλληλο για & Αποτοξίνωση;;;;;;;;Διάφορα;5055148403508;;lamberts/milk-thistle-6250mg-90tabs-pharm24-gr-5055148403508.jpg;https://www.pharm24.gr/lambertsmilk-thistle8500mg-90tabs-p-18389.html;pharm24.gr;Χωρίς σελίδα
Lamberts Iron 14mg, 100tabs;;8,75;15,00;Lamberts Iron 14mg, 100tabs - Συμπλήρωμα Διατροφής Σιδήρου σε Κιτρική Μορφή Κατάλληλο για Άτομα με Γαστρεντερικές Διαταραχές Άμεσης Απορρόφησης;;;;;;;;Διάφορα;5055148401931;;lamberts/iron-14mg-100tabs-pharm24-gr-5055148401931.jpg;https://www.pharm24.gr/lamberts-iron-14mg-100tabs-p-14096.html;pharm24.gr;Χωρίς σελίδα
Lamberts MagAsorb 300mg-Effervescent tabs;Αναβράζον Μαγνήσιο υψηλής απορρόφησης και βιοδιαθεσιμότητας;12,52;16,65;Αναβράζον Μαγνήσιο υψηλής απορρόφησης και βιοδιαθεσιμότητας;;;;;;;;Διάφορα;5055148410605;5055148402228;lamberts/magasorb-150mg-60tabs-pharm24-gr-5055148410605.jpg;https://lamberts.gr/product/magasorb-300mg-effervescent-tabs/;lamberts.gr;Για έλεγχο
Lamberts Min Osteoguard 30Tabs;;8,08;13,85;Συμπλήρωμα διατροφής Lamberts — LAMBERTS MIN OSTEOGUARD 30TABS;;;;;;;;Διάφορα;5055148412050;5055148400248;;;;Χωρίς σελίδα
Lamberts Selenium 200μg + Βιταμίνες A, C, E;Σελήνιο των 200μg & αντιοξειδωτικές Βιταμίνες A, C & E;14,67;25,16;Σελήνιο των 200μg & αντιοξειδωτικές Βιταμίνες A, C & E;;;;;;;;Μεταλλικά Στοιχεία;5055148400002;;lamberts/selenium-200-g-vitamins-a-c-e-100tabs-pharm24-gr-5055148400002.jpg;https://lamberts.gr/product/selenium-200mg-vitamines-a-c-e/;lamberts.gr;Αυτόματο
Lamberts Min Zinc 15Mg/Copper 1Mg 90Tabs;;7,33;12,27;Συμπλήρωμα διατροφής Lamberts — LAMBERTS MIN ZINC 15MG/COPPER 1MG 90TABS;;;;;;;;Διάφορα;5055148400163;;lamberts/natural-beta-carotene-15mg-5055148400163.png;;;Χωρίς σελίδα
Lamberts Zincatest, 100ml;;18,70;18,70;Zincatest is a simple non-invasive test, which gives an indication of zinc status. It can also be given as a zinc supplement.;;;;;;;;Διάφορα;5055148402815;;lamberts/zincatest-100ml-online-pharmacy-ofarmakopoiosmou-gr-5055148402815.png;https://www.ofarmakopoiosmou.gr/en/lamberts-zincatest-100ml;ofarmakopoiosmou.gr;Χωρίς σελίδα
Lamberts Multi Guard Adr 120Tabs;;31,20;52,23;Συμπλήρωμα διατροφής Lamberts — LAMBERTS MULTI GUARD ADR 120TABS;;;;;;;;Διάφορα;5055148412111;5055148410049;lamberts/multi-guard-hair-skin-nails-5055148412111.png;;;Χωρίς σελίδα
Lamberts Multi Guard Adr 60Tabs;;17,40;31,00;Συμπλήρωμα διατροφής Lamberts — LAMBERTS MULTI GUARD ADR 60TABS;;;;;;;;Διάφορα;5055148412708;;lamberts/multi-guard-hair-skin-nails-5055148412708.png;;;Χωρίς σελίδα
Lamberts Multi-Guard® Sugar Control;Ρύθμιση μεταβολισμού και ενεργειακού ισοζυγίου;9,82;16,44;Ρύθμιση μεταβολισμού και ενεργειακού ισοζυγίου;;;;;;;;Βιταμίνες;8055148408848;5055148411343, 5055148408848;lamberts/multi-guard-sugar-control-8055148408848.png;https://lamberts.gr/product/multi-guard-sugar-control/;lamberts.gr;Για έλεγχο
Lamberts Multi-Guard® High Potency One-a-Day 30tabs;;10,20;17,07;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Multi-Guard® High Potency One-a-Day 30tabs;;;;;;;;Διάφορα;5055148411985;5055148400408;lamberts/multi-guard-hair-skin-nails-5055148411985.png;;;Χωρίς σελίδα
Lamberts Natural Form Vitamin E 400iu;Υψηλής ισχύος Βιταμίνη Ε φυσικής μορφής;16,80;28,12;Υψηλής ισχύος Βιταμίνη Ε φυσικής μορφής;;;;;;;;Βιταμίνες;5055148410612;5055148400040;lamberts/natural-form-vitamin-e-400iu-5055148410612.png;https://lamberts.gr/product/natural-form-vitamin-e-400iu-2/;lamberts.gr;Αυτόματο
Lamberts Neuro-Guard (B1,B6 & B12) 60 Tabs;;17,90;30,00;Συμπλήρωμα διατροφής Lamberts — LAMBERTS NEURO-GUARD (B1,B6 & B12) 60 TABS;;;;;;;;Διάφορα;5055148414504;;lamberts/vitamin-b12-1000-g-5055148414504.png;;;Χωρίς σελίδα
Lamberts Neuro-Logical Pea (B1, B6 & B12) 60Caps;;28,00;40,85;Συμπλήρωμα διατροφής Lamberts — LAMBERTS NEURO-LOGICAL PEA (B1, B6 & B12) 60CAPS;;;;;;;;Διάφορα;5055148413644;;lamberts/neuro-logical-plus-5055148413644.png;;;Χωρίς σελίδα
Lamberts Omega 3 Cats&Dog 120Caps;;10,15;16,99;Συμπλήρωμα διατροφής Lamberts — LAMBERTS OMEGA 3 CATS&DOG 120CAPS;;;;;;;;Διάφορα;5055148410742;;lamberts/high-potency-omega-3s-for-cats-and-dogs-5055148410742.png;;;Χωρίς σελίδα
Lamberts Vegan Omega 3 Oil;Έλαιο EPA & DHA από άλγη ελεγχόμενης καλλιέργειας;41,50;65,00;Έλαιο EPA & DHA από άλγη ελεγχόμενης καλλιέργειας;;;;;;;;Ωμέγα Λιπαρά Οξέα;5055148410674;50551484410674;lamberts/omega-3-ultra-1300mg-60caps-pharm24-gr-5055148410674.jpg;https://lamberts.gr/product/vegan-omega-3-oil/;lamberts.gr;Για έλεγχο
Lamberts Omega 3-6-9 1200mg;Ολοκληρωμένος συνδυασμός Ω3, Ω6 & Ω9 Λιπαρών Οξέων;25,74;36,58;Ολοκληρωμένος συνδυασμός Ω3, Ω6 & Ω9 Λιπαρών Οξέων;;;;;;;;Ωμέγα Λιπαρά Οξέα;5055148409135;;lamberts/omega-3-6-9-1200mg-5055148409135.png;https://lamberts.gr/product/omega-3-6-9-1200mg/;lamberts.gr;Αυτόματο
Lamberts Osteoguard® 90tabs;;16,84;28,19;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Osteoguard® 90tabs;;;;;;;;Διάφορα;5055148412067;1111111036112, 5055148400521;;;;Χωρίς σελίδα
Lamberts Performance Energy Drink Orange 1000gr;;17,30;28,96;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Performance Energy Drink Orange 1000gr;;;;;;;;Διάφορα;5055148405700;;lamberts/energy-drink-orange-flavor-5055148405700.png;;;Χωρίς σελίδα
Lamberts Probioguard 60caps;;24,65;40,66;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Probioguard 60caps;;;;;;;;Διάφορα;5055148411503;5055148405571;;;;Χωρίς σελίδα
Lamberts Prostex 90tabs;;22,00;36,83;Lamberts Prostex 90tabs - Συμπλήρωμα Διατροφής για την Αντιμετώπιση Καλοήθους Υπερπλασίας του Προστάτη & Προβλημάτων Ούρησης;;;;;;;;Διάφορα;5055148409944;;lamberts/prostex-90tabs-pharm24-gr-5055148409944.jpg;https://www.pharm24.gr/lamberts-prostex-90tabs-p-18395.html;pharm24.gr;Χωρίς σελίδα
Lamberts Pure Evening Primrose Oil 500mg;Έλαιο Νυχτολούλουδου των 500mg με προσθήκη Βιταμίνης Ε;17,90;29,96;Έλαιο Νυχτολούλουδου των 500mg με προσθήκη Βιταμίνης Ε;;;;;;;;Διάφορα;1111111036136;5055148403652, 5055148400460;lamberts/pure-evening-primrose-oil-500mg-1111111036136.png;https://lamberts.gr/product/pure-evening-primrose-oil-500mg/;lamberts.gr;Αυτόματο
Lamberts Pure Fish Oil 1100mg;Ιχθυέλαιο 5πλής μοριακής απόσταξης των 1100mg;35,85;60,00;Ιχθυέλαιο 5πλής μοριακής απόσταξης των 1100mg;;;;;;;;Ωμέγα Λιπαρά Οξέα;5055148407575;5055148410568;lamberts/pure-fish-oil-1100mg-5055148407575.png;https://lamberts.gr/product/pure-fish-oil-1100mg/;lamberts.gr;Αυτόματο
